Task_ID,Process_ID,Processor_ID,MI,Speed,Power
T1,T1_P1,P7,1402,1457,1.26
T1,T1_P2,P8,2913,1285,0.54
T1,T1_P3,P5,526,1563,0.54
T1,T1_P4,P3,2231,1051,0.63
T1,T1_P5,P6,1638,1501,0.83
T2,T2_P1,P4,1878,2518,1.13
T2,T2_P2,P2,879,1228,1.84
T3,T3_P1,P2,1970,1228,1.84
T3,T3_P2,P6,2972,1501,0.83
T3,T3_P3,P5,677,1563,0.54
T3,T3_P4,P8,2696,1285,0.54
T4,T4_P1,P7,822,1457,1.26
T5,T5_P1,P5,1981,1563,0.54
T5,T5_P2,P10,1287,1209,1.47
T5,T5_P3,P2,687,1228,1.84
T5,T5_P4,P4,1685,2518,1.13
T5,T5_P5,P2,1453,1228,1.84
T6,T6_P1,P7,1638,1457,1.26
T7,T7_P1,P6,1166,1501,0.83
T7,T7_P2,P6,1955,1501,0.83
T7,T7_P3,P4,1593,2518,1.13
T7,T7_P4,P2,2995,1228,1.84
T8,T8_P1,P9,1502,2508,0.8
T8,T8_P2,P3,2393,1051,0.63
T9,T9_P1,P5,2781,1563,0.54
T9,T9_P2,P4,1828,2518,1.13
T9,T9_P3,P1,1438,2309,1.52
T9,T9_P4,P1,1792,2309,1.52
T10,T10_P1,P5,771,1563,0.54
T10,T10_P2,P4,2823,2518,1.13
T10,T10_P3,P6,1370,1501,0.83
T10,T10_P4,P8,2120,1285,0.54
T11,T11_P1,P3,1584,1051,0.63
T11,T11_P2,P3,1510,1051,0.63
T11,T11_P3,P9,2707,2508,0.8
T11,T11_P4,P5,2894,1563,0.54
T12,T12_P1,P10,2135,1209,1.47
T12,T12_P2,P6,1398,1501,0.83
T12,T12_P3,P3,2587,1051,0.63
T12,T12_P4,P8,872,1285,0.54
T13,T13_P1,P2,1126,1228,1.84
T14,T14_P1,P7,2942,1457,1.26
T14,T14_P2,P2,2076,1228,1.84
T15,T15_P1,P10,2417,1209,1.47
T15,T15_P2,P9,1529,2508,0.8
T15,T15_P3,P9,547,2508,0.8
T15,T15_P4,P2,2699,1228,1.84
T16,T16_P1,P6,956,1501,0.83
T16,T16_P2,P5,2280,1563,0.54
T16,T16_P3,P3,2358,1051,0.63
T17,T17_P1,P5,2550,1563,0.54
T18,T18_P1,P9,935,2508,0.8
T18,T18_P2,P5,2579,1563,0.54
T19,T19_P1,P4,1126,2518,1.13
T19,T19_P2,P6,1161,1501,0.83
T19,T19_P3,P9,2672,2508,0.8
T19,T19_P4,P1,2953,2309,1.52
T19,T19_P5,P6,2501,1501,0.83
T20,T20_P1,P2,1986,1228,1.84
T21,T21_P1,P4,737,2518,1.13
T21,T21_P2,P4,2823,2518,1.13
T21,T21_P3,P2,850,1228,1.84
T22,T22_P1,P2,2681,1228,1.84
T22,T22_P2,P3,1025,1051,0.63
T22,T22_P3,P8,2751,1285,0.54
T22,T22_P4,P3,1585,1051,0.63
T23,T23_P1,P10,2233,1209,1.47
T23,T23_P2,P4,2708,2518,1.13
T23,T23_P3,P4,1776,2518,1.13
T23,T23_P4,P7,2029,1457,1.26
T23,T23_P5,P8,2619,1285,0.54
T24,T24_P1,P2,1515,1228,1.84
T24,T24_P2,P4,762,2518,1.13
T24,T24_P3,P6,586,1501,0.83
T24,T24_P4,P10,2768,1209,1.47
T25,T25_P1,P10,1402,1209,1.47
T25,T25_P2,P1,790,2309,1.52
